ID,SurveySessionID,QuestionID,QuestionName,SectionID,SubmittedAt,Duration,Statement,Value,ColumnIndex,Sentiment
255,47,9,QA3,2,2024-10-14 08:32:49.620971423 +0000 UTC,527,34,-4,1,Negative
255,47,9,QA3,2,2024-10-14 08:32:49.620971423 +0000 UTC,527,29,-3,2,Negative
255,47,9,QA3,2,2024-10-14 08:32:49.620971423 +0000 UTC,527,21,-3,2,Negative
255,47,9,QA3,2,2024-10-14 08:32:49.620971423 +0000 UTC,527,33,-3,2,Negative
255,47,9,QA3,2,2024-10-14 08:32:49.620971423 +0000 UTC,527,4,-3,2,Negative
255,47,9,QA3,2,2024-10-14 08:32:49.620971423 +0000 UTC,527,39,-3,2,Negative
255,47,9,QA3,2,2024-10-14 08:32:49.620971423 +0000 UTC,527,7,-2,3,Negative
255,47,9,QA3,2,2024-10-14 08:32:49.620971423 +0000 UTC,527,20,-2,3,Negative
255,47,9,QA3,2,2024-10-14 08:32:49.620971423 +0000 UTC,527,9,-2,3,Positive
255,47,9,QA3,2,2024-10-14 08:32:49.620971423 +0000 UTC,527,18,-1,4,Positive
255,47,9,QA3,2,2024-10-14 08:32:49.620971423 +0000 UTC,527,26,-1,4,Negative
255,47,9,QA3,2,2024-10-14 08:32:49.620971423 +0000 UTC,527,17,-1,4,Positive
255,47,9,QA3,2,2024-10-14 08:32:49.620971423 +0000 UTC,527,16,0,5,Negative
255,47,9,QA3,2,2024-10-14 08:32:49.620971423 +0000 UTC,527,35,0,5,Positive
255,47,9,QA3,2,2024-10-14 08:32:49.620971423 +0000 UTC,527,37,0,5,Negative
255,47,9,QA3,2,2024-10-14 08:32:49.620971423 +0000 UTC,527,10,1,6,Positive
255,47,9,QA3,2,2024-10-14 08:32:49.620971423 +0000 UTC,527,19,1,6,Negative
255,47,9,QA3,2,2024-10-14 08:32:49.620971423 +0000 UTC,527,6,1,6,Negative
255,47,9,QA3,2,2024-10-14 08:32:49.620971423 +0000 UTC,527,40,1,6,Positive
255,47,9,QA3,2,2024-10-14 08:32:49.620971423 +0000 UTC,527,5,1,6,Positive
255,47,9,QA3,2,2024-10-14 08:32:49.620971423 +0000 UTC,527,11,1,6,Negative
255,47,9,QA3,2,2024-10-14 08:32:49.620971423 +0000 UTC,527,27,1,6,Positive
255,47,9,QA3,2,2024-10-14 08:32:49.620971423 +0000 UTC,527,31,2,7,Negative
255,47,9,QA3,2,2024-10-14 08:32:49.620971423 +0000 UTC,527,2,2,7,Positive
255,47,9,QA3,2,2024-10-14 08:32:49.620971423 +0000 UTC,527,23,2,7,Positive
255,47,9,QA3,2,2024-10-14 08:32:49.620971423 +0000 UTC,527,13,2,7,Positive
255,47,9,QA3,2,2024-10-14 08:32:49.620971423 +0000 UTC,527,28,2,7,Negative
255,47,9,QA3,2,2024-10-14 08:32:49.620971423 +0000 UTC,527,32,2,7,Positive
255,47,9,QA3,2,2024-10-14 08:32:49.620971423 +0000 UTC,527,8,3,8,Positive
255,47,9,QA3,2,2024-10-14 08:32:49.620971423 +0000 UTC,527,42,3,8,Positive
255,47,9,QA3,2,2024-10-14 08:32:49.620971423 +0000 UTC,527,38,3,8,Positive
255,47,9,QA3,2,2024-10-14 08:32:49.620971423 +0000 UTC,527,15,3,8,Positive
255,47,9,QA3,2,2024-10-14 08:32:49.620971423 +0000 UTC,527,14,3,8,Negative
255,47,9,QA3,2,2024-10-14 08:32:49.620971423 +0000 UTC,527,12,4,9,Positive
255,47,9,QA3,2,2024-10-14 08:32:49.620971423 +0000 UTC,527,3,4,9,Positive
255,47,9,QA3,2,2024-10-14 08:32:49.620971423 +0000 UTC,527,30,4,9,Positive
255,47,9,QA3,2,2024-10-14 08:32:49.620971423 +0000 UTC,527,24,4,9,Positive
255,47,9,QA3,2,2024-10-14 08:32:49.620971423 +0000 UTC,527,1,5,10,Positive
294,51,9,QA3,2,2024-10-17 18:53:54.180026525 +0000 UTC,1018,22,-5,0,Negative
294,51,9,QA3,2,2024-10-17 18:53:54.180026525 +0000 UTC,1018,20,-4,1,Negative
294,51,9,QA3,2,2024-10-17 18:53:54.180026525 +0000 UTC,1018,18,-4,1,Positive
294,51,9,QA3,2,2024-10-17 18:53:54.180026525 +0000 UTC,1018,33,-4,1,Negative
294,51,9,QA3,2,2024-10-17 18:53:54.180026525 +0000 UTC,1018,4,-4,1,Negative
294,51,9,QA3,2,2024-10-17 18:53:54.180026525 +0000 UTC,1018,25,-3,2,Negative
294,51,9,QA3,2,2024-10-17 18:53:54.180026525 +0000 UTC,1018,26,-3,2,Negative
294,51,9,QA3,2,2024-10-17 18:53:54.180026525 +0000 UTC,1018,29,-3,2,Negative
294,51,9,QA3,2,2024-10-17 18:53:54.180026525 +0000 UTC,1018,7,-3,2,Negative
294,51,9,QA3,2,2024-10-17 18:53:54.180026525 +0000 UTC,1018,41,-3,2,Negative
294,51,9,QA3,2,2024-10-17 18:53:54.180026525 +0000 UTC,1018,14,-2,3,Negative
294,51,9,QA3,2,2024-10-17 18:53:54.180026525 +0000 UTC,1018,31,-2,3,Negative
294,51,9,QA3,2,2024-10-17 18:53:54.180026525 +0000 UTC,1018,36,-2,3,Negative
294,51,9,QA3,2,2024-10-17 18:53:54.180026525 +0000 UTC,1018,28,-2,3,Negative
294,51,9,QA3,2,2024-10-17 18:53:54.180026525 +0000 UTC,1018,16,-2,3,Negative
294,51,9,QA3,2,2024-10-17 18:53:54.180026525 +0000 UTC,1018,34,-2,3,Negative
294,51,9,QA3,2,2024-10-17 18:53:54.180026525 +0000 UTC,1018,19,-1,4,Negative
294,51,9,QA3,2,2024-10-17 18:53:54.180026525 +0000 UTC,1018,39,-1,4,Negative
294,51,9,QA3,2,2024-10-17 18:53:54.180026525 +0000 UTC,1018,21,-1,4,Negative
294,51,9,QA3,2,2024-10-17 18:53:54.180026525 +0000 UTC,1018,6,0,5,Negative
294,51,9,QA3,2,2024-10-17 18:53:54.180026525 +0000 UTC,1018,11,0,5,Negative
